"sweep","cloud","dim","n_total","caliper","caliper_value","seed_index","seed","memory_mode","status","elapsed_s","heap_mb","n_pairs","total_cost","certified_optimal","duality_gap","n_rounds","seed_width","candidate_edges","possible_edges","edges_evaluated","equal_to_dense","cost_gap_vs_dense"
"cloud","lattice_ties",8,10000,"none",Inf,4,1458030466,"lazy","ok",1.9236,77.6,3333,4049.34938185215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,4,1458030466,"dense","ok",1.4723,705.3,3333,4049.34938185215,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,5,1458030467,"implicit","ok",1.1727,77.8,3333,4031.6786280352,TRUE,0,2,78,259974,22221111,39774006,TRUE,0
"cloud","lattice_ties",8,10000,"none",Inf,5,1458030467,"lazy","ok",1.8758,77.6,3333,4031.6786280352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","lattice_ties",8,10000,"none",Inf,5,1458030467,"dense","ok",1.4612,600.7,3333,4031.6786280352,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,1,691369222,"implicit","ok",0.9343,77.8,3333,1833.88265567147,TRUE,0,2,78,259974,22221111,43960065,TRUE,0
"cloud","heavy_tailed",8,10000,"none",Inf,1,691369222,"lazy","ok",0.9756,77.7,3333,1833.88265567147,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,1,691369222,"dense","ok",1.3783,705.3,3333,1833.88265567147,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,2,691369223,"implicit","ok",0.9346,77.8,3333,2087.87252675864,TRUE,0,2,78,259974,22221111,44061261,TRUE,0
"cloud","heavy_tailed",8,10000,"none",Inf,2,691369223,"lazy","ok",0.9454,77.7,3333,2087.87252675864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,2,691369223,"dense","ok",1.3744,705.3,3333,2087.87252675864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,3,691369224,"implicit","ok",0.9554,77.8,3333,2498.05313050792,TRUE,0,2,78,259974,22221111,44168586,TRUE,0
"cloud","heavy_tailed",8,10000,"none",Inf,3,691369224,"lazy","ok",0.8906,77.7,3333,2498.05313050792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,3,691369224,"dense","ok",1.3891,705.3,3333,2498.05313050792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,4,691369225,"implicit","ok",0.9406,77.8,3333,2110.47177754712,TRUE,0,2,78,259974,22221111,44177399,TRUE,0
"cloud","heavy_tailed",8,10000,"none",Inf,4,691369225,"lazy","ok",0.9689,77.7,3333,2110.47177754712,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,4,691369225,"dense","ok",1.3753,600.7,3333,2110.47177754712,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,5,691369226,"implicit","ok",0.9404,77.8,3333,2215.44067455132,TRUE,0,2,78,259974,22221111,44114384,TRUE,0
"cloud","heavy_tailed",8,10000,"none",Inf,5,691369226,"lazy","ok",0.896,77.7,3333,2215.44067455132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","heavy_tailed",8,10000,"none",Inf,5,691369226,"dense","ok",1.3973,705.3,3333,2215.44067455132,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","contested",8,10000,"none",Inf,1,1423252260,"implicit","ok",131.0078,77.8,3333,8470.15848584481,TRUE,0,10,78,16285172,22221111,148993111,TRUE,1.81898940354586e-12
"cloud","contested",8,10000,"none",Inf,1,1423252260,"lazy","ok",414.3625,77.7,3333,8470.15848584481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","contested",8,10000,"none",Inf,1,1423252260,"dense","ok",37.9057,705.3,3333,8470.15848584481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","contested",8,10000,"none",Inf,2,1423252261,"implicit","ok",130.6174,77.8,3333,8503.12945637948,TRUE,0,9,78,16292064,22221111,140012936,TRUE,1.81898940354586e-12
"cloud","contested",8,10000,"none",Inf,2,1423252261,"lazy","ok",414.4524,77.7,3333,8503.12945637948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","contested",8,10000,"none",Inf,2,1423252261,"dense","ok",37.896,705.3,3333,8503.12945637949,NA,NA,NA,NA,NA,NA,NA,NA,NA
