"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","int_uniform","random_05",500,5000,"auto","jv","default",3,0.01367908,0.01364511,0.01570458
"base","int_uniform","random_25",500,1500,"auto","jv","default",3,0.007358229,0.00690932,0.0073987575
"base","int_uniform","random_25",500,500,"auto","jv","default",3,0.00793719,0.0073686225,0.0083494655
"base","int_uniform","random_25",500,5000,"auto","jv","default",3,0.02364499,0.021749925,0.02373404
"base","int_uniform","random_60",500,1500,"auto","jv","default",3,0.008732918,0.008651164,0.008812827
"base","int_uniform","random_60",500,500,"auto","jv","default",3,0.009534632,0.009421677,0.009648079
"base","int_uniform","random_60",500,5000,"auto","jv","default",3,0.0271832,0.02676488,0.02724671
"base","metric_clustered","block_4",500,1500,"auto","jv","default",3,0.003915951,0.0038884605,0.003945799
"base","metric_clustered","block_4",500,500,"auto","jv","default",3,0.005450417,0.0051595835,0.0058950415
"base","metric_clustered","block_4",500,5000,"auto","jv","default",3,0.01298835,0.0126255,0.014207585
"base","metric_clustered","none",500,1500,"auto","jv","default",3,0.003937271,0.003883028,0.0039395875
"base","metric_clustered","none",500,500,"auto","jv","default",3,0.006331466,0.00612622,0.007482623
"base","metric_clustered","none",500,5000,"auto","jv","default",3,0.01128422,0.011213415,0.01133363
"base","metric_clustered","random_01",500,1500,"auto","jv","default",3,0.00374945,0.003748384,0.00443087
"base","metric_clustered","random_01",500,500,"auto","jv","default",3,0.005381619,0.0052260855,0.005641682
"base","metric_clustered","random_01",500,5000,"auto","jv","default",3,0.01681258,0.016708195,0.01682966
"base","metric_clustered","random_05",500,1500,"auto","jv","default",3,0.0055924,0.0049038665,0.0069244695
"base","metric_clustered","random_05",500,500,"auto","jv","default",3,0.009047019,0.0083065385,0.0101819395
"base","metric_clustered","random_05",500,5000,"auto","jv","default",3,0.01810822,0.01809705,0.018109515
"base","metric_clustered","random_25",500,1500,"auto","jv","default",3,0.007829319,0.007237115,0.0078800565
"base","metric_clustered","random_25",500,500,"auto","jv","default",3,0.0139696,0.013676635,0.01494007
"base","metric_clustered","random_25",500,5000,"auto","jv","default",3,0.0227288,0.02134864,0.02341305
"base","metric_clustered","random_60",500,1500,"auto","jv","default",3,0.009065674,0.0088114535,0.009165673
"base","metric_clustered","random_60",500,500,"auto","jv","default",3,0.01384644,0.01236236,0.01425816
"base","metric_clustered","random_60",500,5000,"auto","jv","default",3,0.02734183,0.02620685,0.027358005
"base","metric_uniform","block_4",500,1500,"auto","jv","default",3,0.003725629,0.0036935875,0.004818525
"base","metric_uniform","block_4",500,500,"auto","jv","default",3,0.004520004,0.00436896,0.0045210495
"base","metric_uniform","block_4",500,5000,"auto","jv","default",3,0.01227228,0.012193665,0.012304015
"base","metric_uniform","none",500,1500,"auto","jv","default",3,0.003755928,0.0037176135,0.003876919
"base","metric_uniform","none",500,500,"auto","jv","default",3,0.005725158,0.0050401915,0.005968821
"base","metric_uniform","none",500,5000,"auto","jv","default",3,0.01119509,0.011096465,0.01122947
"base","metric_uniform","random_01",500,1500,"auto","jv","default",3,0.003799798,0.003783972,0.004410657
"base","metric_uniform","random_01",500,500,"auto","jv","default",3,0.005497895,0.0054418685,0.005570506
"base","metric_uniform","random_01",500,5000,"auto","jv","default",3,0.01661541,0.016577835,0.017981225
"base","metric_uniform","random_05",500,1500,"auto","jv","default",3,0.005485349,0.004879656,0.0068615755
"base","metric_uniform","random_05",500,500,"auto","jv","default",3,0.008118779,0.0066656365,0.008590484
"base","metric_uniform","random_05",500,5000,"auto","jv","default",3,0.01381052,0.01373137,0.015804515
"base","metric_uniform","random_25",500,1500,"auto","jv","default",3,0.007500745,0.0074944515,0.0087009995
"base","metric_uniform","random_25",500,500,"auto","jv","default",3,0.01105036,0.0100623835,0.011099295
"base","metric_uniform","random_25",500,5000,"auto","jv","default",3,0.02384351,0.0219013,0.02388051
"base","metric_uniform","random_60",500,1500,"auto","jv","default",3,0.007943053,0.0078594745,0.007994221
"base","metric_uniform","random_60",500,500,"auto","jv","default",3,0.01006234,0.0095427485,0.01042513
"base","metric_uniform","random_60",500,5000,"auto","jv","default",3,0.02699055,0.025931415,0.02718341
"base","tied","block_4",500,1500,"auto","jv","default",3,0.05501618,0.054543,0.05507571
