"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","random_60",500,500,2,532951459,"network_simplex",3,0.08653124,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,3,532951460,"auto",1,0.01052056,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"auto",2,0.009581372,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"auto",3,0.00957022,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"jv",1,0.009222007,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"jv",2,0.008603112,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"jv",3,0.008610533,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"sap",1,0.01954499,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"sap",2,0.01778814,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"sap",3,0.01749966,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"sap_dense",1,0.02095604,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"sap_dense",2,0.02011616,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"sap_dense",3,0.01951284,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"lapmod",1,0.01345436,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"lapmod",2,0.01260598,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"lapmod",3,0.01297379,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"ramshaw_tarjan",1,0.02229617,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"ramshaw_tarjan",2,0.02151438,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"ramshaw_tarjan",3,0.0215929,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"hungarian",1,0.009492607,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"hungarian",2,0.008831236,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"hungarian",3,0.008874368,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"auction_scaled",1,0.00992569,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"auction_scaled",2,0.008947635,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"auction_scaled",3,0.008962846,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"csa",1,0.01050076,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"csa",2,0.009647546,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"csa",3,0.009392444,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"csflow",1,0.01940788,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"csflow",2,0.01651234,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"csflow",3,0.01641644,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"network_simplex",1,0.08898025,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
"base","int_uniform","random_60",500,500,3,532951460,"network_simplex",2,0.08739146,"ok",28122,500,"jv","default","integer","uniform",FALSE,1,0.6006
