"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","objective","duality_gap","max_suboptimality","certified_optimal","primal_feasible","all_rows_matched","structurally_valid","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","none",500,500,2,75350317,"auction_gs",1,0.009031562,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_gs",2,0.008687941,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_gs",3,0.00867806,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_gs",4,0.008990234,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_gs",5,0.01004422,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_scaled",1,0.009496502,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_scaled",2,0.009120204,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_scaled",3,0.009096137,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_scaled",4,0.009424875,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"auction_scaled",5,0.009187485,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csa",1,0.007680776,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csa",2,0.007281846,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csa",3,0.007126784,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csa",4,0.007635881,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csa",5,0.00713687,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csflow",1,0.02122648,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csflow",2,0.02120557,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csflow",3,0.02034805,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csflow",4,0.02026892,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"csflow",5,0.02020628,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"network_simplex",1,0.09902693,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"network_simplex",2,0.0983387,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"network_simplex",3,0.0972297,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"network_simplex",4,0.09695983,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
